case_id,case_type,court_name,ipc_section,duration_months,evidence_strength_score,prior_offenses,claimed_amount_inr,predicted_win_probability,case_outcome
CAS-2026-1640,Cyber Fraud,Madras High Court,NI Act 138 (Cheque Bounce),1,0.33,0,7414153,64.7,Injunction Issued
CAS-2026-1641,Bail Application,Supreme Court of India,IPC 498A (Cruelty),27,0.2,0,5518626,92.7,Case Dismissed
CAS-2026-1642,Property Dispute,District & Sessions Court,IPC 498A (Cruelty),46,0.92,1,9850576,69.3,Settlement Agreed
CAS-2026-1643,Divorce & Maintenance,District & Sessions Court,IPC 307 (Attempt to Murder),8,0.79,2,3722546,93.7,Bail Granted
CAS-2026-1644,Property Dispute,District & Sessions Court,IPC 498A (Cruelty),46,0.83,0,6096522,45.4,Injunction Issued
CAS-2026-1645,Property Dispute,Madras High Court,IPC 420 (Cheating),42,0.9,0,3706940,89.9,Bail Granted
CAS-2026-1646,Property Dispute,Madras High Court,IPC 379 (Theft),17,0.57,1,6035537,91.6,Settlement Agreed
CAS-2026-1647,Contract Violation,Supreme Court of India,IPC 379 (Theft),9,0.5,0,3700200,93.1,Bail Denied
CAS-2026-1648,Property Dispute,Delhi High Court,IPC 120B (Criminal Conspiracy),6,0.39,0,659031,45.7,Injunction Issued
CAS-2026-1649,Criminal Breach of Trust,Delhi High Court,IT Act 66D,43,0.62,0,6591280,53.6,Bail Granted
CAS-2026-1650,Bail Application,Madras High Court,NI Act 138 (Cheque Bounce),25,0.5,0,2801243,77.7,Bail Denied
CAS-2026-1651,Cyber Fraud,Supreme Court of India,IT Act 66D,39,0.5,1,5544003,46.3,Case Dismissed
CAS-2026-1652,Cheque Bounce u/s 138,Delhi High Court,IPC 420 (Cheating),28,0.93,0,4535728,48.2,Settlement Agreed
CAS-2026-1653,Property Dispute,Supreme Court of India,IPC 498A (Cruelty),33,0.98,0,8694992,56.1,Settlement Agreed
CAS-2026-1654,Divorce & Maintenance,Supreme Court of India,IPC 379 (Theft),37,0.81,2,6642155,70.6,Injunction Issued
CAS-2026-1655,Property Dispute,Supreme Court of India,IT Act 66D,9,0.77,0,7265371,72.3,Bail Granted
CAS-2026-1656,Divorce & Maintenance,Karnataka High Court,IPC 420 (Cheating),18,0.71,1,4235554,46.7,Case Dismissed
CAS-2026-1657,Criminal Breach of Trust,District & Sessions Court,IPC 379 (Theft),21,0.25,0,3088088,53.5,Injunction Issued
CAS-2026-1658,Divorce & Maintenance,Supreme Court of India,IPC 498A (Cruelty),2,0.15,0,1079907,70.0,Injunction Issued
CAS-2026-1659,Cheque Bounce u/s 138,Karnataka High Court,IT Act 66D,43,0.71,2,313968,74.7,Bail Granted
CAS-2026-1660,Bail Application,Madras High Court,IPC 379 (Theft),38,0.75,0,8783565,52.4,Case Dismissed
CAS-2026-1661,Divorce & Maintenance,Delhi High Court,NI Act 138 (Cheque Bounce),40,0.14,0,2001737,64.9,Bail Granted
CAS-2026-1662,Divorce & Maintenance,District & Sessions Court,NI Act 138 (Cheque Bounce),36,0.93,0,5085248,90.2,Settlement Agreed
CAS-2026-1663,Bail Application,Delhi High Court,IPC 120B (Criminal Conspiracy),43,0.18,0,9953066,94.9,Bail Denied
CAS-2026-1664,Cheque Bounce u/s 138,District & Sessions Court,IPC 120B (Criminal Conspiracy),37,0.35,0,6509363,94.4,Settlement Agreed
CAS-2026-1665,Property Dispute,Delhi High Court,IPC 379 (Theft),15,0.7,1,2402743,89.1,Settlement Agreed
CAS-2026-1666,Divorce & Maintenance,District & Sessions Court,IPC 420 (Cheating),28,0.25,2,4688156,64.7,Injunction Issued
CAS-2026-1667,Bail Application,Delhi High Court,NI Act 138 (Cheque Bounce),18,0.15,2,1085461,79.3,Settlement Agreed
CAS-2026-1668,Criminal Breach of Trust,Delhi High Court,IPC 420 (Cheating),34,0.39,0,5931759,65.8,Case Dismissed
CAS-2026-1669,Bail Application,Delhi High Court,IPC 420 (Cheating),22,0.78,0,5810912,77.4,Settlement Agreed
CAS-2026-1670,Criminal Breach of Trust,Delhi High Court,IPC 379 (Theft),11,0.47,0,1906423,60.5,Case Dismissed
CAS-2026-1671,Cheque Bounce u/s 138,Madras High Court,IPC 420 (Cheating),13,0.68,1,2050408,75.3,Bail Granted
CAS-2026-1672,Property Dispute,Supreme Court of India,NI Act 138 (Cheque Bounce),4,0.62,0,9116523,71.2,Injunction Issued
CAS-2026-1673,Bail Application,Bombay High Court,IPC 498A (Cruelty),22,0.12,0,3694128,46.2,Case Dismissed
CAS-2026-1674,Cyber Fraud,Karnataka High Court,IPC 120B (Criminal Conspiracy),7,0.98,1,9665565,84.5,Settlement Agreed
CAS-2026-1675,Cyber Fraud,Bombay High Court,IPC 498A (Cruelty),43,0.14,0,8206584,45.6,Injunction Issued
CAS-2026-1676,Contract Violation,Bombay High Court,IPC 420 (Cheating),24,0.96,0,1506427,59.7,Injunction Issued
CAS-2026-1677,Divorce & Maintenance,District & Sessions Court,IPC 498A (Cruelty),4,0.59,2,3589550,45.3,Case Dismissed
CAS-2026-1678,Cheque Bounce u/s 138,Supreme Court of India,NI Act 138 (Cheque Bounce),28,0.96,2,6989053,63.8,Case Dismissed
CAS-2026-1679,Bail Application,District & Sessions Court,NI Act 138 (Cheque Bounce),15,0.2,0,3995090,48.2,Bail Denied
CAS-2026-1680,Cyber Fraud,Supreme Court of India,IPC 420 (Cheating),1,0.54,0,2865013,90.7,Bail Denied
CAS-2026-1681,Divorce & Maintenance,Supreme Court of India,IPC 379 (Theft),3,0.25,3,6262492,65.8,Injunction Issued
CAS-2026-1682,Cyber Fraud,Delhi High Court,IPC 498A (Cruelty),14,0.15,0,8524990,68.0,Bail Denied
CAS-2026-1683,Bail Application,Madras High Court,IPC 379 (Theft),38,0.65,0,7138170,62.5,Settlement Agreed
CAS-2026-1684,Criminal Breach of Trust,Delhi High Court,IPC 379 (Theft),1,0.28,0,962219,76.4,Bail Granted
CAS-2026-1685,Bail Application,Madras High Court,IPC 307 (Attempt to Murder),38,0.62,0,8434750,84.2,Injunction Issued
CAS-2026-1686,Contract Violation,District & Sessions Court,IPC 420 (Cheating),38,0.2,0,1818303,77.4,Bail Granted
CAS-2026-1687,Bail Application,Madras High Court,IPC 120B (Criminal Conspiracy),21,0.4,0,9763464,82.4,Bail Denied
CAS-2026-1688,Bail Application,District & Sessions Court,NI Act 138 (Cheque Bounce),29,0.8,0,3901082,90.3,Case Dismissed
CAS-2026-1689,Contract Violation,Bombay High Court,NI Act 138 (Cheque Bounce),5,0.49,0,3446668,88.2,Injunction Issued
CAS-2026-1690,Cheque Bounce u/s 138,Bombay High Court,IPC 420 (Cheating),10,0.66,3,6796674,78.7,Bail Denied
CAS-2026-1691,Bail Application,Madras High Court,IT Act 66D,28,0.68,1,3305677,55.7,Settlement Agreed
CAS-2026-1692,Contract Violation,Madras High Court,IT Act 66D,21,0.85,1,2606068,76.9,Injunction Issued
CAS-2026-1693,Divorce & Maintenance,District & Sessions Court,IT Act 66D,7,0.39,0,583075,70.3,Injunction Issued
CAS-2026-1694,Criminal Breach of Trust,Delhi High Court,IPC 120B (Criminal Conspiracy),3,0.71,0,8226198,80.9,Case Dismissed
CAS-2026-1695,Criminal Breach of Trust,District & Sessions Court,NI Act 138 (Cheque Bounce),45,0.96,0,8815978,86.6,Injunction Issued
CAS-2026-1696,Bail Application,Delhi High Court,IPC 420 (Cheating),47,0.75,2,5551731,82.1,Case Dismissed
CAS-2026-1697,Cheque Bounce u/s 138,Bombay High Court,NI Act 138 (Cheque Bounce),20,0.54,0,7599043,87.3,Bail Denied
CAS-2026-1698,Cheque Bounce u/s 138,Supreme Court of India,IPC 379 (Theft),19,0.66,0,6846037,48.2,Settlement Agreed
CAS-2026-1699,Divorce & Maintenance,Madras High Court,IPC 498A (Cruelty),35,0.76,1,9321750,46.6,Settlement Agreed
CAS-2026-1700,Bail Application,Delhi High Court,IPC 498A (Cruelty),4,0.64,0,4573214,57.9,Injunction Issued
CAS-2026-1701,Criminal Breach of Trust,District & Sessions Court,NI Act 138 (Cheque Bounce),5,0.11,0,3782796,90.0,Injunction Issued
CAS-2026-1702,Cheque Bounce u/s 138,Bombay High Court,IPC 307 (Attempt to Murder),1,0.27,3,9331261,86.2,Bail Denied
CAS-2026-1703,Bail Application,Delhi High Court,IPC 120B (Criminal Conspiracy),4,0.82,1,7951746,79.1,Case Dismissed
CAS-2026-1704,Cyber Fraud,District & Sessions Court,IT Act 66D,12,0.34,0,7941640,80.0,Settlement Agreed
CAS-2026-1705,Cheque Bounce u/s 138,Madras High Court,IPC 120B (Criminal Conspiracy),27,0.75,3,8840245,81.3,Case Dismissed
CAS-2026-1706,Contract Violation,Madras High Court,IPC 120B (Criminal Conspiracy),42,0.43,0,8666554,92.1,Bail Denied
CAS-2026-1707,Cyber Fraud,Karnataka High Court,IPC 379 (Theft),23,0.56,1,5237956,86.6,Settlement Agreed
CAS-2026-1708,Cheque Bounce u/s 138,Supreme Court of India,IPC 120B (Criminal Conspiracy),25,0.16,0,5374413,76.2,Settlement Agreed
CAS-2026-1709,Criminal Breach of Trust,Karnataka High Court,IPC 498A (Cruelty),21,0.26,0,7824578,78.3,Bail Granted
CAS-2026-1710,Property Dispute,Bombay High Court,IPC 379 (Theft),24,0.95,0,964899,55.7,Bail Denied
CAS-2026-1711,Cyber Fraud,Delhi High Court,IPC 420 (Cheating),25,0.89,1,8752111,77.9,Bail Denied
CAS-2026-1712,Divorce & Maintenance,Bombay High Court,IPC 120B (Criminal Conspiracy),45,0.68,0,6510575,66.2,Bail Granted
CAS-2026-1713,Divorce & Maintenance,District & Sessions Court,IPC 120B (Criminal Conspiracy),46,0.51,0,2418292,52.6,Case Dismissed
CAS-2026-1714,Criminal Breach of Trust,Madras High Court,IPC 420 (Cheating),32,0.7,0,2126393,85.3,Bail Granted
CAS-2026-1715,Cheque Bounce u/s 138,Karnataka High Court,IPC 120B (Criminal Conspiracy),32,0.65,1,7722520,70.5,Bail Denied
CAS-2026-1716,Bail Application,Karnataka High Court,IPC 420 (Cheating),5,0.61,0,2479897,93.9,Case Dismissed
CAS-2026-1717,Cheque Bounce u/s 138,Karnataka High Court,IPC 379 (Theft),36,0.15,0,1394416,59.1,Settlement Agreed
CAS-2026-1718,Criminal Breach of Trust,Bombay High Court,IPC 498A (Cruelty),46,0.66,0,2085196,69.0,Bail Granted
CAS-2026-1719,Divorce & Maintenance,Madras High Court,IPC 420 (Cheating),42,0.78,0,8152377,67.4,Case Dismissed
CAS-2026-1720,Cheque Bounce u/s 138,Delhi High Court,IPC 307 (Attempt to Murder),42,0.98,0,7803189,51.0,Case Dismissed
CAS-2026-1721,Divorce & Maintenance,District & Sessions Court,IPC 420 (Cheating),39,0.11,0,1660121,66.3,Case Dismissed
CAS-2026-1722,Cyber Fraud,Delhi High Court,IPC 120B (Criminal Conspiracy),16,0.75,0,5978263,59.4,Bail Granted
CAS-2026-1723,Bail Application,Bombay High Court,IT Act 66D,33,0.61,0,543035,53.0,Settlement Agreed
CAS-2026-1724,Cyber Fraud,District & Sessions Court,IT Act 66D,21,0.49,1,3199072,59.1,Case Dismissed
CAS-2026-1725,Divorce & Maintenance,Karnataka High Court,IPC 379 (Theft),9,0.21,0,6750723,56.7,Bail Granted
CAS-2026-1726,Divorce & Maintenance,Supreme Court of India,NI Act 138 (Cheque Bounce),6,0.46,0,8449092,81.7,Bail Denied
CAS-2026-1727,Property Dispute,Bombay High Court,IPC 379 (Theft),45,0.42,2,5300551,46.5,Bail Granted
CAS-2026-1728,Property Dispute,Bombay High Court,NI Act 138 (Cheque Bounce),35,0.37,0,9177925,75.9,Bail Granted
CAS-2026-1729,Cyber Fraud,Madras High Court,IT Act 66D,39,0.75,2,7847156,83.0,Bail Granted
CAS-2026-1730,Contract Violation,Delhi High Court,IT Act 66D,22,0.72,0,4652636,69.0,Case Dismissed
CAS-2026-1731,Cyber Fraud,Bombay High Court,IPC 420 (Cheating),41,0.62,0,851240,91.6,Bail Granted
CAS-2026-1732,Property Dispute,Bombay High Court,IPC 498A (Cruelty),5,0.94,0,4415596,80.4,Bail Denied
CAS-2026-1733,Divorce & Maintenance,Karnataka High Court,IPC 307 (Attempt to Murder),42,0.41,2,6875996,82.4,Case Dismissed
CAS-2026-1734,Criminal Breach of Trust,Karnataka High Court,IPC 379 (Theft),23,0.32,0,1095791,54.8,Bail Denied
CAS-2026-1735,Cyber Fraud,District & Sessions Court,IPC 120B (Criminal Conspiracy),17,0.68,0,2060299,83.9,Injunction Issued
CAS-2026-1736,Divorce & Maintenance,Supreme Court of India,NI Act 138 (Cheque Bounce),12,0.28,3,5179111,86.6,Bail Granted
CAS-2026-1737,Criminal Breach of Trust,Madras High Court,IPC 120B (Criminal Conspiracy),23,0.38,0,8002634,63.1,Case Dismissed
CAS-2026-1738,Criminal Breach of Trust,Supreme Court of India,IPC 498A (Cruelty),16,0.3,0,2953501,55.7,Case Dismissed
CAS-2026-1739,Property Dispute,District & Sessions Court,NI Act 138 (Cheque Bounce),3,0.16,0,6382444,64.3,Bail Granted
CAS-2026-1740,Cyber Fraud,Karnataka High Court,IPC 379 (Theft),30,0.84,1,5713904,82.0,Settlement Agreed
CAS-2026-1741,Cheque Bounce u/s 138,Delhi High Court,IPC 420 (Cheating),22,0.33,0,2559622,65.9,Settlement Agreed
CAS-2026-1742,Bail Application,Karnataka High Court,IPC 120B (Criminal Conspiracy),9,0.52,0,1997459,81.8,Bail Denied
CAS-2026-1743,Property Dispute,Madras High Court,IPC 498A (Cruelty),29,0.14,0,4340012,50.7,Bail Granted
CAS-2026-1744,Property Dispute,Karnataka High Court,IPC 379 (Theft),47,0.72,0,1315442,85.3,Bail Granted
CAS-2026-1745,Cheque Bounce u/s 138,Madras High Court,IT Act 66D,37,0.39,2,5664396,57.7,Injunction Issued
CAS-2026-1746,Bail Application,Madras High Court,IT Act 66D,23,0.76,2,8003797,57.4,Settlement Agreed
CAS-2026-1747,Divorce & Maintenance,Madras High Court,IPC 379 (Theft),13,0.47,1,2680309,74.5,Settlement Agreed
CAS-2026-1748,Contract Violation,District & Sessions Court,IPC 379 (Theft),32,0.27,1,6525148,48.5,Bail Granted
CAS-2026-1749,Cyber Fraud,Madras High Court,IPC 379 (Theft),46,0.56,0,7149985,46.3,Bail Denied
CAS-2026-1750,Contract Violation,Madras High Court,NI Act 138 (Cheque Bounce),47,0.22,0,7606161,58.1,Bail Granted
CAS-2026-1751,Divorce & Maintenance,Delhi High Court,IPC 379 (Theft),23,0.49,1,5251946,71.9,Bail Denied
CAS-2026-1752,Property Dispute,Supreme Court of India,IPC 120B (Criminal Conspiracy),45,0.38,0,7126206,90.4,Settlement Agreed
CAS-2026-1753,Bail Application,Bombay High Court,IPC 498A (Cruelty),17,0.91,0,4347328,87.3,Injunction Issued
CAS-2026-1754,Property Dispute,Supreme Court of India,NI Act 138 (Cheque Bounce),40,0.15,1,1551469,69.5,Case Dismissed
CAS-2026-1755,Criminal Breach of Trust,Madras High Court,IPC 379 (Theft),21,0.72,0,3400874,46.9,Settlement Agreed
CAS-2026-1756,Property Dispute,Delhi High Court,IPC 307 (Attempt to Murder),2,0.26,1,4836416,71.8,Bail Denied
CAS-2026-1757,Property Dispute,Karnataka High Court,IPC 307 (Attempt to Murder),37,0.38,0,4163997,80.2,Bail Granted
CAS-2026-1758,Divorce & Maintenance,Delhi High Court,IPC 498A (Cruelty),6,0.47,0,8402975,62.0,Settlement Agreed
CAS-2026-1759,Divorce & Maintenance,Madras High Court,IT Act 66D,44,0.91,0,6226463,50.6,Injunction Issued
CAS-2026-1760,Divorce & Maintenance,Delhi High Court,IPC 420 (Cheating),18,0.32,0,8537534,58.9,Bail Denied
CAS-2026-1761,Contract Violation,Delhi High Court,IPC 420 (Cheating),30,0.18,1,5510812,83.6,Bail Granted
CAS-2026-1762,Criminal Breach of Trust,Madras High Court,IT Act 66D,22,0.38,0,7252765,62.6,Case Dismissed
CAS-2026-1763,Divorce & Maintenance,District & Sessions Court,NI Act 138 (Cheque Bounce),33,0.19,0,6207182,85.6,Bail Denied
CAS-2026-1764,Bail Application,Delhi High Court,NI Act 138 (Cheque Bounce),30,0.21,0,6112621,61.0,Bail Granted
CAS-2026-1765,Contract Violation,Bombay High Court,NI Act 138 (Cheque Bounce),17,0.61,0,3851387,53.2,Case Dismissed
CAS-2026-1766,Cheque Bounce u/s 138,Bombay High Court,IPC 420 (Cheating),43,0.15,0,2879060,66.8,Bail Granted
CAS-2026-1767,Bail Application,Delhi High Court,IPC 307 (Attempt to Murder),32,0.13,2,583791,67.6,Case Dismissed
CAS-2026-1768,Cyber Fraud,District & Sessions Court,IPC 420 (Cheating),42,0.74,0,2258714,45.8,Case Dismissed
CAS-2026-1769,Cyber Fraud,Karnataka High Court,IPC 120B (Criminal Conspiracy),14,0.42,1,9284874,50.9,Case Dismissed
CAS-2026-1770,Bail Application,Madras High Court,IPC 379 (Theft),10,0.21,1,2722280,54.2,Bail Granted
CAS-2026-1771,Divorce & Maintenance,Bombay High Court,NI Act 138 (Cheque Bounce),47,0.33,0,4325872,50.7,Case Dismissed
CAS-2026-1772,Cheque Bounce u/s 138,Karnataka High Court,IPC 307 (Attempt to Murder),36,0.67,0,9149867,62.1,Bail Denied
CAS-2026-1773,Cheque Bounce u/s 138,Delhi High Court,IPC 498A (Cruelty),34,0.35,1,9098934,93.2,Injunction Issued
CAS-2026-1774,Contract Violation,Karnataka High Court,IPC 498A (Cruelty),9,0.54,0,1345749,70.5,Injunction Issued
CAS-2026-1775,Cheque Bounce u/s 138,Supreme Court of India,IPC 379 (Theft),42,0.21,0,9444885,76.4,Case Dismissed
CAS-2026-1776,Cyber Fraud,Bombay High Court,IPC 307 (Attempt to Murder),28,0.62,0,2326941,62.8,Injunction Issued
CAS-2026-1777,Criminal Breach of Trust,Delhi High Court,IPC 420 (Cheating),11,0.38,2,1518180,61.2,Injunction Issued
CAS-2026-1778,Divorce & Maintenance,Madras High Court,IPC 420 (Cheating),14,0.66,2,8563331,46.2,Case Dismissed
CAS-2026-1779,Cheque Bounce u/s 138,District & Sessions Court,IPC 120B (Criminal Conspiracy),39,0.82,1,6333146,70.0,Case Dismissed
CAS-2026-1780,Contract Violation,Delhi High Court,IPC 120B (Criminal Conspiracy),47,0.64,0,7154499,69.2,Bail Denied
CAS-2026-1781,Cyber Fraud,Madras High Court,IPC 420 (Cheating),19,0.36,0,8337881,52.9,Settlement Agreed
CAS-2026-1782,Criminal Breach of Trust,District & Sessions Court,IPC 498A (Cruelty),15,0.33,0,3118967,83.2,Bail Granted
CAS-2026-1783,Property Dispute,District & Sessions Court,NI Act 138 (Cheque Bounce),28,0.39,0,3826904,69.6,Case Dismissed
CAS-2026-1784,Property Dispute,Delhi High Court,IPC 498A (Cruelty),24,0.25,0,892515,61.9,Case Dismissed
CAS-2026-1785,Criminal Breach of Trust,Karnataka High Court,IPC 120B (Criminal Conspiracy),8,0.26,2,6010838,52.3,Injunction Issued
CAS-2026-1786,Cyber Fraud,Karnataka High Court,IPC 379 (Theft),43,0.8,2,1493196,72.6,Bail Denied
CAS-2026-1787,Contract Violation,District & Sessions Court,IPC 420 (Cheating),9,0.44,0,1135211,82.6,Injunction Issued
CAS-2026-1788,Criminal Breach of Trust,Karnataka High Court,IPC 120B (Criminal Conspiracy),47,0.49,0,2289568,59.1,Case Dismissed
CAS-2026-1789,Divorce & Maintenance,Supreme Court of India,IPC 120B (Criminal Conspiracy),33,0.63,0,4034740,55.9,Case Dismissed
CAS-2026-1790,Divorce & Maintenance,District & Sessions Court,NI Act 138 (Cheque Bounce),33,0.62,0,747122,71.1,Injunction Issued
CAS-2026-1791,Property Dispute,District & Sessions Court,IPC 420 (Cheating),19,0.16,1,3882164,52.8,Case Dismissed
CAS-2026-1792,Cheque Bounce u/s 138,Madras High Court,NI Act 138 (Cheque Bounce),3,0.84,1,1861331,78.3,Settlement Agreed
CAS-2026-1793,Contract Violation,Karnataka High Court,IPC 420 (Cheating),10,0.26,0,1977329,75.3,Bail Granted
CAS-2026-1794,Property Dispute,District & Sessions Court,NI Act 138 (Cheque Bounce),40,0.74,0,2992970,49.4,Bail Granted
CAS-2026-1795,Cheque Bounce u/s 138,Supreme Court of India,IPC 498A (Cruelty),47,0.79,0,415315,46.8,Bail Granted
CAS-2026-1796,Cheque Bounce u/s 138,Madras High Court,IPC 379 (Theft),42,0.74,0,8639202,76.0,Settlement Agreed
CAS-2026-1797,Divorce & Maintenance,Delhi High Court,IPC 379 (Theft),1,0.62,0,9209500,59.7,Case Dismissed
CAS-2026-1798,Cyber Fraud,District & Sessions Court,IPC 420 (Cheating),29,0.11,0,6876432,49.3,Injunction Issued
CAS-2026-1799,Bail Application,Supreme Court of India,IPC 307 (Attempt to Murder),34,0.42,0,4059015,83.0,Bail Denied
CAS-2026-1800,Cyber Fraud,Bombay High Court,IT Act 66D,13,0.64,1,2314979,60.7,Case Dismissed
CAS-2026-1801,Bail Application,Supreme Court of India,IPC 120B (Criminal Conspiracy),1,0.44,0,3505851,68.0,Settlement Agreed
CAS-2026-1802,Criminal Breach of Trust,Supreme Court of India,IPC 120B (Criminal Conspiracy),34,0.87,0,7454292,56.8,Settlement Agreed
CAS-2026-1803,Divorce & Maintenance,Madras High Court,IPC 420 (Cheating),29,0.37,0,296211,76.4,Bail Granted
CAS-2026-1804,Cheque Bounce u/s 138,Delhi High Court,NI Act 138 (Cheque Bounce),47,0.36,0,1936082,60.1,Case Dismissed
CAS-2026-1805,Contract Violation,Bombay High Court,IPC 307 (Attempt to Murder),13,0.34,0,2337699,93.4,Bail Granted
CAS-2026-1806,Bail Application,Karnataka High Court,IPC 498A (Cruelty),29,0.4,0,4558434,80.1,Bail Denied
CAS-2026-1807,Cyber Fraud,Karnataka High Court,NI Act 138 (Cheque Bounce),39,0.6,0,1913065,51.8,Bail Granted
CAS-2026-1808,Cheque Bounce u/s 138,Supreme Court of India,NI Act 138 (Cheque Bounce),24,0.73,0,5057161,65.8,Bail Denied
CAS-2026-1809,Bail Application,Madras High Court,IPC 420 (Cheating),26,0.69,1,7495511,64.3,Settlement Agreed
CAS-2026-1810,Bail Application,Madras High Court,IPC 420 (Cheating),17,0.82,0,4687281,71.7,Bail Granted
CAS-2026-1811,Bail Application,Karnataka High Court,IPC 120B (Criminal Conspiracy),7,0.89,1,5607200,87.1,Bail Granted
CAS-2026-1812,Contract Violation,Bombay High Court,IPC 420 (Cheating),13,0.83,0,8865940,74.2,Injunction Issued
CAS-2026-1813,Divorce & Maintenance,Delhi High Court,IPC 420 (Cheating),5,0.12,0,8572761,48.1,Settlement Agreed
CAS-2026-1814,Contract Violation,Bombay High Court,IPC 420 (Cheating),26,0.75,0,5078234,77.8,Injunction Issued
CAS-2026-1815,Property Dispute,District & Sessions Court,IPC 120B (Criminal Conspiracy),3,0.29,0,9614626,45.4,Bail Denied
CAS-2026-1816,Cheque Bounce u/s 138,District & Sessions Court,IPC 498A (Cruelty),7,0.22,2,4072162,84.0,Bail Denied
CAS-2026-1817,Divorce & Maintenance,Delhi High Court,IPC 498A (Cruelty),39,0.67,1,6266994,78.3,Settlement Agreed
CAS-2026-1818,Divorce & Maintenance,Karnataka High Court,IT Act 66D,1,0.38,2,4272060,60.4,Bail Denied
CAS-2026-1819,Divorce & Maintenance,Delhi High Court,IT Act 66D,17,0.15,2,6703352,59.6,Settlement Agreed
CAS-2026-1820,Cyber Fraud,Madras High Court,IPC 420 (Cheating),43,0.22,0,9796672,84.9,Bail Denied
CAS-2026-1821,Divorce & Maintenance,District & Sessions Court,IT Act 66D,25,0.1,0,178947,84.2,Case Dismissed
CAS-2026-1822,Contract Violation,Supreme Court of India,IPC 120B (Criminal Conspiracy),3,0.9,0,7252604,62.6,Bail Granted
CAS-2026-1823,Divorce & Maintenance,Supreme Court of India,IPC 498A (Cruelty),15,0.12,3,8236537,59.9,Case Dismissed
CAS-2026-1824,Criminal Breach of Trust,Karnataka High Court,NI Act 138 (Cheque Bounce),29,0.29,1,4069411,73.0,Settlement Agreed
CAS-2026-1825,Cheque Bounce u/s 138,Madras High Court,IPC 498A (Cruelty),43,0.47,0,6487952,45.4,Settlement Agreed
CAS-2026-1826,Divorce & Maintenance,Bombay High Court,IPC 498A (Cruelty),32,0.42,1,6069677,49.1,Case Dismissed
CAS-2026-1827,Cheque Bounce u/s 138,Madras High Court,IPC 120B (Criminal Conspiracy),26,0.91,0,1068410,51.3,Bail Granted
CAS-2026-1828,Criminal Breach of Trust,Supreme Court of India,IT Act 66D,16,0.14,0,4036642,54.3,Bail Granted
CAS-2026-1829,Criminal Breach of Trust,Supreme Court of India,NI Act 138 (Cheque Bounce),25,0.56,0,9183542,70.6,Injunction Issued
CAS-2026-1830,Cheque Bounce u/s 138,District & Sessions Court,IPC 120B (Criminal Conspiracy),28,0.71,0,1140835,94.6,Bail Denied
CAS-2026-1831,Bail Application,Madras High Court,IPC 420 (Cheating),9,0.93,1,6726532,77.6,Injunction Issued
CAS-2026-1832,Property Dispute,Madras High Court,IPC 379 (Theft),1,0.65,0,5486452,48.1,Bail Granted
CAS-2026-1833,Cyber Fraud,Supreme Court of India,IPC 498A (Cruelty),29,0.82,0,8631225,71.3,Case Dismissed
CAS-2026-1834,Bail Application,Bombay High Court,IPC 379 (Theft),22,0.17,0,7052057,69.8,Bail Denied
CAS-2026-1835,Bail Application,Karnataka High Court,IPC 120B (Criminal Conspiracy),16,0.44,0,9757570,52.2,Case Dismissed
CAS-2026-1836,Contract Violation,Karnataka High Court,IPC 120B (Criminal Conspiracy),41,0.43,0,5234629,91.0,Injunction Issued
CAS-2026-1837,Cyber Fraud,Madras High Court,IPC 120B (Criminal Conspiracy),44,0.89,0,5026730,67.0,Settlement Agreed
CAS-2026-1838,Cyber Fraud,Karnataka High Court,IPC 379 (Theft),41,0.23,0,1130120,94.7,Case Dismissed
CAS-2026-1839,Bail Application,Supreme Court of India,IPC 120B (Criminal Conspiracy),7,0.24,0,1134780,66.0,Injunction Issued
CAS-2026-1840,Divorce & Maintenance,Supreme Court of India,IPC 420 (Cheating),14,0.39,0,7228822,75.4,Injunction Issued
CAS-2026-1841,Contract Violation,Madras High Court,IPC 120B (Criminal Conspiracy),29,0.15,1,9952731,50.2,Injunction Issued
CAS-2026-1842,Contract Violation,Madras High Court,IPC 307 (Attempt to Murder),19,0.26,0,849045,67.7,Settlement Agreed
CAS-2026-1843,Criminal Breach of Trust,District & Sessions Court,IT Act 66D,19,0.96,0,972109,56.9,Settlement Agreed
CAS-2026-1844,Cyber Fraud,Madras High Court,IPC 379 (Theft),2,0.48,0,7836085,86.8,Settlement Agreed
CAS-2026-1845,Bail Application,Bombay High Court,IPC 307 (Attempt to Murder),41,0.66,0,487405,84.2,Bail Denied
CAS-2026-1846,Criminal Breach of Trust,Karnataka High Court,IPC 120B (Criminal Conspiracy),45,0.75,0,6905360,86.2,Settlement Agreed
CAS-2026-1847,Cheque Bounce u/s 138,Madras High Court,IPC 420 (Cheating),15,0.43,1,4661786,81.2,Settlement Agreed
CAS-2026-1848,Property Dispute,Delhi High Court,IPC 498A (Cruelty),3,0.23,2,4858669,86.6,Settlement Agreed
CAS-2026-1849,Contract Violation,District & Sessions Court,NI Act 138 (Cheque Bounce),11,0.28,2,3201004,55.0,Case Dismissed
CAS-2026-1850,Cheque Bounce u/s 138,Delhi High Court,IT Act 66D,46,0.38,0,5634693,67.6,Settlement Agreed
CAS-2026-1851,Cheque Bounce u/s 138,Supreme Court of India,NI Act 138 (Cheque Bounce),30,0.67,0,3032208,79.6,Bail Denied
CAS-2026-1852,Divorce & Maintenance,Karnataka High Court,IPC 120B (Criminal Conspiracy),40,0.45,1,4287442,76.9,Injunction Issued
